PAID,MONTH,N_SUBSCRIPTIONS,PRICE,PHONE_NUMBER,DAYS_FROM_PROMO,BOOKS_PAID,N_TRANSACTIONS,N_ITEMS,MAIL,SUBSCR_CANC,MARGIN,DAYS_BETWEEN_TRANSACTIONS,POINT_OF_SALE_BO,POINT_OF_SALE_MI,POINT_OF_SALE_RM,PAYMENT_TYPE_Card,PAYMENT_TYPE_Cash,PAYMENT_TYPE_Coupon,FAV_GENRE_Shojo,FAV_GENRE_Shonen,AGE_<10–14,AGE_15–21,AGE_22–30+,PROP_CONBINI_Alto,PROP_CONBINI_Basso,PROP_CONBINI_Medio
1.0,7,1,10.99,0,1,8,3,2,0,0,57.495203462491226,111,True,False,False,True,False,False,False,True,False,True,False,False,True,False
1.0,9,1,13.3,0,20,5,2,4,0,1,63.31703628664374,217,True,False,False,False,True,False,False,True,False,True,False,False,False,True
1.0,5,2,18.79,0,6,3,1,3,0,0,28.841448930435448,152,False,True,False,True,False,False,False,True,False,False,True,False,True,False
1.0,4,0,7.96,0,1,1,1,2,0,0,7.0860543329952534,0,False,True,False,True,False,False,False,True,False,True,False,False,True,False
1.0,6,0,12.0,0,1,3,1,3,0,0,28.841448930435448,363,True,False,False,False,True,False,False,True,False,True,False,True,False,False
1.0,8,1,6.7,1,5,1,1,2,1,0,8.551470516062658,0,False,False,True,False,False,True,False,True,False,True,False,True,False,False
1.0,7,3,13.01,0,12,3,2,4,0,3,26.15469320005124,175,True,False,False,True,False,False,False,True,True,False,False,False,False,True
1.0,4,1,9.03,0,4,3,1,3,0,0,28.841448930435448,147,True,False,False,True,False,False,False,True,True,False,False,False,False,True
1.0,6,0,10.0,0,12,3,1,2,0,0,36.60084406875213,0,False,False,True,False,True,False,False,True,False,False,True,False,True,False
1.0,5,1,8.17,0,11,3,1,1,0,0,28.841448930435448,84,False,False,True,True,False,False,False,True,True,False,False,False,True,False
1.0,4,0,9.2,0,25,8,3,2,0,0,95.76305658124863,157,False,True,False,False,True,False,True,False,False,False,True,True,False,False
1.0,9,2,8.9,0,27,1,1,1,0,0,11.000628913434298,0,True,False,False,True,False,False,True,False,False,True,False,False,True,False
1.0,5,0,12.9,0,1,3,1,1,0,0,28.841448930435448,32,True,False,False,True,False,False,True,False,False,True,False,False,True,False
1.0,1,1,10.8,0,27,1,1,2,0,0,12.641079487387714,0,True,False,False,True,False,False,False,True,False,True,False,False,True,False
1.0,3,0,7.7,0,12,26,10,2,0,0,311.9671739398042,139,True,False,False,False,False,True,False,True,False,True,False,False,True,False
1.0,7,1,13.77,0,3,3,1,3,0,0,28.841448930435448,180,False,False,True,True,False,False,False,True,False,True,False,False,True,False
1.0,7,1,11.88,0,10,3,1,4,0,0,25.14865043310064,0,True,False,False,True,False,False,False,True,True,False,False,True,False,False
1.0,7,2,12.15,0,1,2,1,3,0,0,19.443476960762823,0,False,False,True,True,False,False,False,True,False,True,False,False,True,False
1.0,4,0,10.4,0,27,1,1,3,0,0,9.630026113758092,0,True,False,False,False,True,False,False,True,False,True,False,False,False,True
1.0,1,0,8.2,0,28,1,1,1,0,0,9.819662562304842,0,True,False,False,True,False,False,False,True,False,False,True,False,True,False
1.0,8,2,17.73,0,25,1,1,3,0,0,10.484306147136756,0,True,False,False,True,False,False,False,True,True,False,False,False,True,False
1.0,8,1,6.75,0,25,3,1,2,0,0,28.841448930435448,140,True,False,False,False,True,False,False,True,False,False,True,False,True,False
1.0,4,1,8.9,0,3,8,3,2,0,0,71.78043961319419,342,True,False,False,True,False,False,True,False,False,True,False,False,True,False
1.0,8,1,15.1,0,21,8,7,3,0,0,63.55247767484116,276,True,False,False,True,False,False,False,True,False,True,False,False,False,True
1.0,3,1,13.0,1,1,3,1,3,1,0,28.841448930435448,80,True,False,False,True,False,False,True,False,True,False,False,False,False,True
1.0,4,0,9.5,0,11,3,1,2,0,0,28.841448930435448,0,False,True,False,False,False,True,False,True,False,True,False,True,False,False
0.0,8,1,23.1,0,1,2,1,5,0,1,25.578055286205966,0,False,True,False,True,False,False,False,True,True,False,False,False,False,True
1.0,1,1,10.6,0,1,2,1,4,0,0,21.67535671631868,0,True,False,False,True,False,False,False,True,False,True,False,True,False,False
1.0,8,2,7.01,0,6,4,2,3,0,0,30.460450774881224,129,True,False,False,True,False,False,True,False,False,True,False,False,False,True
1.0,3,1,6.7,1,29,28,26,1,1,1,199.43860957990427,782,True,False,False,False,False,True,False,True,False,False,True,False,True,False
1.0,9,0,8.08,0,8,3,1,2,0,0,37.187210731963965,0,True,False,False,False,True,False,False,True,False,True,False,False,True,False
