N_SUBSCRIPTIONS,PRICE,DAYS_FROM_PROMO,N_TRANSACTIONS,N_ITEMS,SUBSCR_CANC,MARGIN,MONTH,DAYS_BETWEEN_TRANSACTIONS,PAYMENT_TYPE_Coupon,POINT_OF_SALE_MI,PHONE_NUMBER,MAIL,AGE_22–30+,PROP_CONBINI_Medio,POINT_OF_SALE_BO,AGE_15–21,PROP_CONBINI_Alto,PAYMENT_TYPE_Card,PAID
1,10.99,1,1.3862943611198906,2,0,4.068944758782108,7,111,False,False,0,0,False,False,True,True,False,True,1
1,13.3,20,1.0986122886681096,4,1,4.163824546176078,9,217,False,False,0,0,False,True,True,True,False,False,1
2,18.79,6,0.6931471805599453,3,0,3.3958983308067054,5,152,False,True,0,0,True,False,False,False,False,True,1
0,7.96,1,0.6931471805599453,2,0,2.090140890586958,4,0,False,True,0,0,False,False,False,True,False,True,1
0,12.0,1,0.6931471805599453,3,0,3.3958983308067054,6,363,False,False,0,0,False,False,True,True,True,False,1
1,6.7,5,0.6931471805599453,2,0,2.2566951233783668,8,0,True,False,1,1,False,False,False,True,True,False,1
3,13.01,12,1.0986122886681096,4,3,3.3015498933213916,7,175,False,False,0,0,False,True,True,False,False,True,1
1,9.03,4,0.6931471805599453,3,0,3.3958983308067054,4,147,False,False,0,0,False,True,True,False,False,True,1
0,10.0,12,0.6931471805599453,2,0,3.6270264987809067,6,0,False,False,0,0,True,False,False,False,False,False,1
1,8.17,11,0.6931471805599453,1,0,3.3958983308067054,5,84,False,False,0,0,False,False,False,False,False,True,1
0,9.2,25,1.3862943611198906,2,0,4.572265274548895,4,157,False,True,0,0,True,False,False,False,True,False,1
2,8.9,27,0.6931471805599453,1,0,2.484959057867531,9,0,False,False,0,0,False,False,True,True,False,True,1
0,12.9,1,0.6931471805599453,1,0,3.3958983308067054,5,32,False,False,0,0,False,False,True,True,False,True,1
1,10.8,27,0.6931471805599453,2,0,2.613085790587893,1,0,False,False,0,0,False,False,True,True,False,True,1
0,7.7,12,2.3978952727983707,2,0,5.7460983094486435,3,139,True,False,0,0,False,False,True,True,False,False,1
1,13.77,3,0.6931471805599453,3,0,3.3958983308067054,7,180,False,False,0,0,False,False,False,True,False,True,1
1,11.88,10,0.6931471805599453,4,0,3.2637975805023185,7,0,False,False,0,0,False,False,True,False,True,True,1
2,12.15,1,0.6931471805599453,3,0,3.0176638565816343,7,0,False,False,0,0,False,False,False,True,False,True,1
0,10.4,27,0.6931471805599453,3,0,2.363682648960255,4,0,False,False,0,0,False,True,True,True,False,False,1
0,8.2,28,0.6931471805599453,1,0,2.3813650864537315,1,0,False,False,0,0,True,False,True,False,False,True,1
