PAID;POINT_OF_SALE;EVENT_ID;YEAR;MONTH;N_SUBSCRIPTIONS;PRICE;PHONE_NUMBER;PROP_CONBINI;PAYMENT_TYPE;FAV_GENRE;AGE;DAYS_FROM_PROMO;BOOKS_PAID;N_TRANSACTIONS;N_ITEMS;DATE_LAST_PURCHASE;CUSTOMER_SINCE;MAIL;SUBSCR_CANC;MARGIN
YES;BO;INN11033;2018;JUL;1;10.99;0;0,0;Card;Shonen;18;1.0;8.0;3.0;2;27/04/2018;06/01/2018;0;0;57.495203462491226
YES;BO;INN16891;2018;SEP;1;13.3;0;0,25;Cash;Shonen;21;20.0;5.0;2.0;4;14/09/2018;09/02/2018;0;1;63.31703628664374
YES;MI;INN12365;2018;MAY;2;18.785;0;0,0;Card;Shonen;24;6.0;;;3;01/01/0001;01/01/9999;0;0;
YES;MI;INN15825;2018;APR;0;7.956;0;0,0;Card;Shonen;17;2.0;1.0;1.0;2;20/01/2018;20/01/2018;0;0;7.086054332995252
YES;BO;INN32532;2018;JUN;0;12.0;0;0,66667;Cash;Shonen;21;2.0;;;3;01/01/0001;01/01/9999;0;0;
YES;NA;INN33584;2018;AUG;1;6.7;1;0,5;Coupon;Shonen;21;5.0;1.0;1.0;2;12/07/2018;12/07/2018;1;0;8.551470516062658
YES;NA;INN11701;2018;JUL;3;13.005;0;0,25;Card;Shonen;14;12.0;3.0;2.0;4;14/02/2018;23/08/2017;0;3;26.154693200051238
YES;BO;INN01463;2018;APR;1;9.03;0;0,33333;Card;Shonen;11;4.0;;;3;01/01/0001;01/01/9999;0;0;
YES;RM;INN17699;2018;JUN;0;10.0;0;0,0;Cash;Shonen;22;12.0;3.0;1.0;2;03/04/2018;03/04/2018;0;0;36.600844068752124
YES;RM;INN26124;2018;MAY;1;8.162;0;0,0;Card;Shonen;12;11.0;;;1;01/01/0001;01/01/9999;0;0;
YES;NA;INN18870;2018;APR;0;9.2;0;0,5;Cash;;23;25.0;8.0;3.0;2;24/04/2018;18/11/2017;0;0;95.76305658124863
YES;BO;INN07433;2018;SEP;2;8.9;0;0,0;Card;Shojo;18;27.0;1.0;1.0;1;07/09/2018;07/09/2018;0;0;11.0006289134343
YES;BO;INN07235;2018;MAY;0;12.9;0;0,0;Card;Shojo;18;1.0;;;1;01/01/0001;01/01/9999;0;0;
YES;BO;INN20265;2018;FEB;1;10.8;0;0,0;Card;Shonen;20;27.0;1.0;1.0;2;21/02/2018;21/02/2018;0;0;12.641079487387712
YES;BO;INN07471;2018;MAR;0;7.7;0;0,0;Coupon;Shonen;;12.0;26.0;10.0;2;03/02/2018;17/09/2017;0;0;311.9671739398042
YES;RM;INN01419;2018;JUL;1;13.77;0;0,0;Card;Shonen;19;3.0;;;3;01/01/0001;01/01/9999;0;0;
YES;BO;INN18541;2018;JUL;1;11.879999999999999;0;0,5;Card;Shonen;12;10.0;3.0;1.0;4;27/03/2018;27/03/2018;0;0;25.148650433100645
YES;RM;INN30079;2018;JUL;2;12.15;0;0,0;Card;Shonen;17;1.0;2.0;1.0;3;29/04/2018;29/04/2018;0;0;19.44347696076282
YES;BO;INN17884;2018;APR;0;10.4;0;0,33333;Cash;;16;27.0;1.0;1.0;3;03/03/2018;03/03/2018;0;0;9.630026113758097
YES;BO;INN16041;2018;JAN;0;8.2;0;0,0;Card;Shonen;24;28.0;1.0;1.0;1;24/01/2018;24/01/2018;0;0;9.819662562304838
YES;BO;INN24831;2018;AUG;2;17.73;0;0,0;Card;Shonen;12;25.0;1.0;1.0;3;11/07/2018;11/07/2018;0;0;10.484306147136758
YES;NA;INN22522;2018;AUG;1;6.75;0;0,0;Cash;Shonen;23;25.0;;;2;01/01/0001;01/01/9999;0;0;
YES;BO;INN21596;2018;APR;1;8.9;0;0,0;Card;Shojo;19;3.0;8.0;3.0;2;31/03/2018;23/04/2017;0;0;71.78043961319419
YES;BO;INN05429;2018;AUG;1;15.1;0;0,33333;Card;Shonen;21;21.0;8.0;7.0;3;20/08/2018;17/11/2017;0;0;63.55247767484116
YES;BO;INN22910;2018;MAR;1;13.0;1;0,33333;Card;Shojo;<=10;1.0;;;3;01/01/0001;01/01/9999;1;0;
YES;MI;INN25782;2018;APR;0;9.5;0;0,5;Coupon;Shonen;17;11.0;;;2;01/01/0001;01/01/9999;0;0;
NO;MI;INN22249;2018;AUG;1;23.1;0;0,2;Card;Shonen;13;2.0;2.0;1.0;5;14/07/2018;14/07/2018;0;1;25.578055286205966
YES;NA;INN29150;2018;FEB;1;10.6;0;0,5;Card;Shonen;;1.0;2.0;1.0;4;31/01/2018;31/01/2018;0;0;21.675356716318678
YES;BO;INN18383;2018;AUG;2;7.0040000000000004;0;0,33333;Card;Shojo;20;6.0;4.0;2.0;3;26/03/2018;17/11/2017;0;0;30.460450774881224
YES;BO;INN35522;2018;MAR;1;6.7;1;0,0;Coupon;Shonen;24;29.0;28.0;26.0;1;28/03/2018;05/02/2016;1;1;199.43860957990427
YES;BO;INN27808;2018;SEP;0;8.075;0;0,0;Cash;Shonen;18;8.0;3.0;1.0;2;23/05/2018;23/05/2018;0;0;37.187210731963965
YES;BO;INN15833;2018;OCT;2;13.0;0;0,5;Card;Shonen;<=10;4.0;3.0;3.0;2;22/09/2018;27/09/2017;0;0;28.430923014686194
YES;BO;INN05854;2018;SEP;1;18.4;0;0,0;Card;Shonen;20;3.0;1.0;1.0;2;29/08/2018;29/08/2018;0;0;8.300277456566063
YES;BO;INN19735;2018;MAR;1;5.6;1;0,0;Coupon;Shonen;;13.0;20.0;7.0;1;10/03/2018;27/06/2017;1;0;283.87707956117407
YES;BO;INN24413;2018;JUL;1;7.225;0;0,33333;Cash;Shonen;17;2.0;1.0;1.0;3;21/12/2017;21/12/2017;0;1;10.756083295235928
YES;BO;INN25602;2018;JUN;0;11.0;0;0,0;Cash;Shonen;<=10;2.0;1.0;1.0;1;04/02/2018;04/02/2018;0;0;9.910790672707856
YES;RM;INN10245;2018;JUN;1;12.9;0;0,5;Card;Shojo;21;27.0;6.0;2.0;2;27/06/2018;08/02/2018;0;1;65.90715317161445
YES;BO;INN34030;2018;JUL;2;14.219999999999999;0;0,25;Card;Shonen;25;25.0;5.0;2.0;4;08/05/2018;29/06/2017;1;0;37.799030490705626
YES;BO;INN30446;2018;SEP;0;9.5;0;0,0;Coupon;Shonen;28;8.0;2.0;2.0;1;07/09/2018;02/02/2018;0;0;20.733120110464824
YES;BO;INN24197;2018;JUL;0;7.225;0;0,33333;Cash;Shonen;16;25.0;1.0;1.0;3;03/03/2018;03/03/2018;0;0;6.478117468741564
YES;BO;INN01033;2018;JUN;0;9.5;0;0,5;Cash;Shonen;11;27.0;5.0;4.0;2;17/12/2017;23/03/2017;0;0;46.50316400113472
YES;MI;INN32999;2018;OCT;1;9.0;0;0,0;Coupon;Shonen;12;4.0;2.0;1.0;2;03/10/2018;03/10/2018;0;0;20.524079335539763
YES;NA;INN00786;2018;JUN;0;9.0;0;0,5;Cash;;11;2.0;2.0;1.0;2;10/09/2017;10/09/2017;0;0;20.985204482392206
YES;BO;INN01422;2018;OCT;2;14.0;0;0,6;Card;Shojo;;15.0;8.0;2.0;5;02/10/2018;16/03/2018;0;2;76.95972590423703
YES;BO;INN31338;2018;FEB;0;9.4;0;0,0;Card;Shojo;12;1.0;1.0;1.0;1;01/02/2018;01/02/2018;0;0;10.833097110130147
YES;BO;INN16519;2018;JUN;2;12.183;0;0,0;Card;Shonen;;13.0;3.0;1.0;2;14/01/2018;14/01/2018;0;2;42.262826449201434
NO;NA;INN12281;2018;MAR;0;19.3;0;0,25;Card;;23;3.0;6.0;2.0;4;20/02/2018;06/10/2017;0;0;50.855949009057696
YES;BO;INN04569;2018;SEP;1;8.55;0;0,0;Cash;Shonen;;4.0;3.0;1.0;2;15/08/2018;15/08/2018;0;0;36.11500620067906
YES;BO;INN32847;2018;AUG;2;13.5;1;0,4;Card;Shonen;17;15.0;;;5;01/01/0001;01/01/9999;1;0;
YES;BO;INN32449;2018;OCT;0;12.0;0;0,5;Cash;Shonen;14;17.0;5.0;5.0;2;25/08/2018;19/09/2017;0;0;50.18525124860123
YES;RM;INN02404;2018;MAY;0;6.5;0;0,0;Coupon;Shonen;;30.0;341.0;341.0;1;27/05/2018;06/06/2014;0;0;3923.1986928134643
YES;BO;INN26430;2018;APR;2;11.951;0;0,4;Card;Shonen;19;30.0;1.0;1.0;5;25/02/2018;25/02/2018;0;2;11.822010283163603
YES;BO;INN07733;2018;FEB;1;7.83;0;0,5;Card;Shonen;19;26.0;;;4;01/01/0001;01/01/9999;0;0;
YES;BO;INN32687;2018;JUL;2;9.308;0;0,33333;Card;Shonen;20;25.0;;;3;01/01/0001;01/01/9999;0;0;
YES;BO;INN24333;2018;JUN;0;9.5;0;0,0;Cash;Shonen;<=10;12.0;1.0;1.0;1;02/12/2017;02/12/2017;0;0;8.92458923423397
